Unnamed: 0,Sobreviventes,Status socioeconômico,Gênero das pessoas,Idade das pessoas,Relação familiar de irmãos e cônjuge,Relação familiar de pais e filhos,Tarifa do passageiro,Porto de embarcação,Número da classe social,"Homem, Mulher ou Criança",Homem adulto,Convés,Cidade de embarcação,Pessoas vivas,Pessoas sozinhas
435,vivo,1,Feminino,14.0,1,2,120.0,Southampton,Primeira Classe,Criança,Não,Convés Primeira Classe e áreas de serviço,Southampton,Sim,Não
436,morto,3,Feminino,21.0,2,2,34.375,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Não
437,vivo,2,Feminino,24.0,2,3,18.75,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Não
438,morto,1,Masculino,64.0,1,4,263.0,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Southampton,Não,Não
439,morto,2,Masculino,31.0,0,0,10.5,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
440,vivo,2,Feminino,45.0,1,1,26.25,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Não
441,morto,3,Masculino,20.0,0,0,9.5,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
442,morto,3,Masculino,25.0,1,0,7.775,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
443,vivo,2,Feminino,28.0,0,0,13.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Sim
444,vivo,3,Masculino,,0,0,8.1125,Southampton,Terceira Classe,Homem,Sim,,Southampton,Sim,Sim
445,vivo,1,Masculino,4.0,0,2,81.8583,Southampton,Primeira Classe,Criança,Não,Convés Primeira Classe com botes salva vidas,Southampton,Sim,Não
446,vivo,2,Feminino,13.0,0,1,19.5,Southampton,Segunda Classe,Criança,Não,,Southampton,Sim,Não
447,vivo,1,Masculino,34.0,0,0,26.55,Southampton,Primeira Classe,Homem,Sim,,Southampton,Sim,Sim
448,vivo,3,Feminino,5.0,2,1,19.2583,Cherbourg,Terceira Classe,Criança,Não,,Cherbourg,Sim,Não
449,vivo,1,Masculino,52.0,0,0,30.5,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Southampton,Sim,Sim
450,morto,2,Masculino,36.0,1,2,27.75,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Não
451,morto,3,Masculino,,1,0,19.9667,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
452,morto,1,Masculino,30.0,0,0,27.75,Cherbourg,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Cherbourg,Não,Sim
453,vivo,1,Masculino,49.0,1,0,89.1042,Cherbourg,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Cherbourg,Sim,Não
454,morto,3,Masculino,,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
455,vivo,3,Masculino,29.0,0,0,7.8958,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Sim,Sim
456,morto,1,Masculino,65.0,0,0,26.55,Southampton,Primeira Classe,Homem,Sim,Convés Segunda Classe e áreas de serviço,Southampton,Não,Sim
457,vivo,1,Feminino,,1,0,51.8625,Southampton,Primeira Classe,Mulher,Não,Convés Primeira Classe e Restaurante de Primeira Classe,Southampton,Sim,Não
458,vivo,2,Feminino,50.0,0,0,10.5,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Sim
459,morto,3,Masculino,,0,0,7.75,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Não,Sim
460,vivo,1,Masculino,48.0,0,0,26.55,Southampton,Primeira Classe,Homem,Sim,Convés Segunda Classe e áreas de serviço,Southampton,Sim,Sim
461,morto,3,Masculino,34.0,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
462,morto,1,Masculino,47.0,0,0,38.5,Southampton,Primeira Classe,Homem,Sim,Convés Segunda Classe e áreas de serviço,Southampton,Não,Sim
463,morto,2,Masculino,48.0,0,0,13.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
464,morto,3,Masculino,,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
465,morto,3,Masculino,38.0,0,0,7.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
466,morto,2,Masculino,,0,0,0.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
467,morto,1,Masculino,56.0,0,0,26.55,Southampton,Primeira Classe,Homem,Sim,,Southampton,Não,Sim
468,morto,3,Masculino,,0,0,7.725,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Não,Sim
469,vivo,3,Feminino,0.75,2,1,19.2583,Cherbourg,Terceira Classe,Criança,Não,,Cherbourg,Sim,Não
470,morto,3,Masculino,,0,0,7.25,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
471,morto,3,Masculino,38.0,0,0,8.6625,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
472,vivo,2,Feminino,33.0,1,2,27.75,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Não
473,vivo,2,Feminino,23.0,0,0,13.7917,Cherbourg,Segunda Classe,Mulher,Não,Convés Primeira Classe e Restaurante de Primeira Classe,Cherbourg,Sim,Sim
474,morto,3,Feminino,22.0,0,0,9.8375,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Sim
475,morto,1,Masculino,,0,0,52.0,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe com botes salva vidas,Southampton,Não,Sim
476,morto,2,Masculino,34.0,1,0,21.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Não
477,morto,3,Masculino,29.0,1,0,7.0458,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
478,morto,3,Masculino,22.0,0,0,7.5208,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
479,vivo,3,Feminino,2.0,0,1,12.2875,Southampton,Terceira Classe,Criança,Não,,Southampton,Sim,Não
480,morto,3,Masculino,9.0,5,2,46.9,Southampton,Terceira Classe,Criança,Não,,Southampton,Não,Não
481,morto,2,Masculino,,0,0,0.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
482,morto,3,Masculino,50.0,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
483,vivo,3,Feminino,63.0,0,0,9.5875,Southampton,Terceira Classe,Mulher,Não,,Southampton,Sim,Sim
484,vivo,1,Masculino,25.0,1,0,91.0792,Cherbourg,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de serviço,Cherbourg,Sim,Não
485,morto,3,Feminino,,3,1,25.4667,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Não
486,vivo,1,Feminino,35.0,1,0,90.0,Southampton,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de refeição,Southampton,Sim,Não
487,morto,1,Masculino,58.0,0,0,29.7,Cherbourg,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de serviço,Cherbourg,Não,Sim
488,morto,3,Masculino,30.0,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
489,vivo,3,Masculino,9.0,1,1,15.9,Southampton,Terceira Classe,Criança,Não,,Southampton,Sim,Não
490,morto,3,Masculino,,1,0,19.9667,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
491,morto,3,Masculino,21.0,0,0,7.25,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
492,morto,1,Masculino,55.0,0,0,30.5,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Southampton,Não,Sim
493,morto,1,Masculino,71.0,0,0,49.5042,Cherbourg,Primeira Classe,Homem,Sim,,Cherbourg,Não,Sim
494,morto,3,Masculino,21.0,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
495,morto,3,Masculino,,0,0,14.4583,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Não,Sim
496,vivo,1,Feminino,54.0,1,0,78.2667,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe e Restaurante de Primeira Classe,Cherbourg,Sim,Não
497,morto,3,Masculino,,0,0,15.1,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
498,morto,1,Feminino,25.0,1,2,151.55,Southampton,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de refeição,Southampton,Não,Não
499,morto,3,Masculino,24.0,0,0,7.7958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
500,morto,3,Masculino,17.0,0,0,8.6625,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
501,morto,3,Feminino,21.0,0,0,7.75,Queenstown,Terceira Classe,Mulher,Não,,Queenstown,Não,Sim
502,morto,3,Feminino,,0,0,7.6292,Queenstown,Terceira Classe,Mulher,Não,,Queenstown,Não,Sim
503,morto,3,Feminino,37.0,0,0,9.5875,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Sim
504,vivo,1,Feminino,16.0,0,0,86.5,Southampton,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de serviço,Southampton,Sim,Sim
505,morto,1,Masculino,18.0,1,0,108.9,Cherbourg,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Cherbourg,Não,Não
506,vivo,2,Feminino,33.0,0,2,26.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Não
507,vivo,1,Masculino,,0,0,26.55,Southampton,Primeira Classe,Homem,Sim,,Southampton,Sim,Sim
508,morto,3,Masculino,28.0,0,0,22.525,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
509,vivo,3,Masculino,26.0,0,0,56.4958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Sim,Sim
510,vivo,3,Masculino,29.0,0,0,7.75,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Sim,Sim
511,morto,3,Masculino,,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
512,vivo,1,Masculino,36.0,0,0,26.2875,Southampton,Primeira Classe,Homem,Sim,Convés Segunda Classe e áreas de serviço,Southampton,Sim,Sim
513,vivo,1,Feminino,54.0,1,0,59.4,Cherbourg,Primeira Classe,Mulher,Não,,Cherbourg,Sim,Não
514,morto,3,Masculino,24.0,0,0,7.4958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
515,morto,1,Masculino,47.0,0,0,34.0208,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e Restaurante de Primeira Classe,Southampton,Não,Sim
516,vivo,2,Feminino,34.0,0,0,10.5,Southampton,Segunda Classe,Mulher,Não,Convés Segunda Classe e parte da Terceira Classe,Southampton,Sim,Sim
517,morto,3,Masculino,,0,0,24.15,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Não,Sim
518,vivo,2,Feminino,36.0,1,0,26.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Não
519,morto,3,Masculino,32.0,0,0,7.8958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
520,vivo,1,Feminino,30.0,0,0,93.5,Southampton,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de serviço,Southampton,Sim,Sim
521,morto,3,Masculino,22.0,0,0,7.8958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
522,morto,3,Masculino,,0,0,7.225,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Não,Sim
523,vivo,1,Feminino,44.0,0,1,57.9792,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de serviço,Cherbourg,Sim,Não
524,morto,3,Masculino,,0,0,7.2292,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Não,Sim
525,morto,3,Masculino,40.5,0,0,7.75,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Não,Sim
526,vivo,2,Feminino,50.0,0,0,10.5,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Sim
527,morto,1,Masculino,,0,0,221.7792,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Southampton,Não,Sim
528,morto,3,Masculino,39.0,0,0,7.925,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
529,morto,2,Masculino,23.0,2,1,11.5,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Não
530,vivo,2,Feminino,2.0,1,1,26.0,Southampton,Segunda Classe,Criança,Não,,Southampton,Sim,Não
531,morto,3,Masculino,,0,0,7.2292,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Não,Sim
532,morto,3,Masculino,17.0,1,1,7.2292,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Não,Não
533,vivo,3,Feminino,,0,2,22.3583,Cherbourg,Terceira Classe,Mulher,Não,,Cherbourg,Sim,Não
534,morto,3,Feminino,30.0,0,0,8.6625,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Sim
535,vivo,2,Feminino,7.0,0,2,26.25,Southampton,Segunda Classe,Criança,Não,,Southampton,Sim,Não
536,morto,1,Masculino,45.0,0,0,26.55,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de serviço,Southampton,Não,Sim
537,vivo,1,Feminino,30.0,0,0,106.425,Cherbourg,Primeira Classe,Mulher,Não,,Cherbourg,Sim,Sim
538,morto,3,Masculino,,0,0,14.5,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
539,vivo,1,Feminino,22.0,0,2,49.5,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de serviço,Cherbourg,Sim,Não
540,vivo,1,Feminino,36.0,0,2,71.0,Southampton,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de serviço,Southampton,Sim,Não
541,morto,3,Feminino,9.0,4,2,31.275,Southampton,Terceira Classe,Criança,Não,,Southampton,Não,Não
542,morto,3,Feminino,11.0,4,2,31.275,Southampton,Terceira Classe,Criança,Não,,Southampton,Não,Não
543,vivo,2,Masculino,32.0,1,0,26.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Sim,Não
544,morto,1,Masculino,50.0,1,0,106.425,Cherbourg,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Cherbourg,Não,Não
545,morto,1,Masculino,64.0,0,0,26.0,Southampton,Primeira Classe,Homem,Sim,,Southampton,Não,Sim
546,vivo,2,Feminino,19.0,1,0,26.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Não
547,vivo,2,Masculino,,0,0,13.8625,Cherbourg,Segunda Classe,Homem,Sim,,Cherbourg,Sim,Sim
548,morto,3,Masculino,33.0,1,1,20.525,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
549,vivo,2,Masculino,8.0,1,1,36.75,Southampton,Segunda Classe,Criança,Não,,Southampton,Sim,Não
550,vivo,1,Masculino,17.0,0,2,110.8833,Cherbourg,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Cherbourg,Sim,Não
551,morto,2,Masculino,27.0,0,0,26.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
552,morto,3,Masculino,,0,0,7.8292,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Não,Sim
553,vivo,3,Masculino,22.0,0,0,7.225,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Sim,Sim
554,vivo,3,Feminino,22.0,0,0,7.775,Southampton,Terceira Classe,Mulher,Não,,Southampton,Sim,Sim
555,morto,1,Masculino,62.0,0,0,26.55,Southampton,Primeira Classe,Homem,Sim,,Southampton,Não,Sim
556,vivo,1,Feminino,48.0,1,0,39.6,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe com botes salva vidas,Cherbourg,Sim,Não
557,morto,1,Masculino,,0,0,227.525,Cherbourg,Primeira Classe,Homem,Sim,,Cherbourg,Não,Sim
558,vivo,1,Feminino,39.0,1,1,79.65,Southampton,Primeira Classe,Mulher,Não,Convés Segunda Classe e áreas de serviço,Southampton,Sim,Não
559,vivo,3,Feminino,36.0,1,0,17.4,Southampton,Terceira Classe,Mulher,Não,,Southampton,Sim,Não
560,morto,3,Masculino,,0,0,7.75,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Não,Sim
561,morto,3,Masculino,40.0,0,0,7.8958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
562,morto,2,Masculino,28.0,0,0,13.5,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
563,morto,3,Masculino,,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
564,morto,3,Feminino,,0,0,8.05,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Sim
565,morto,3,Masculino,24.0,2,0,24.15,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
566,morto,3,Masculino,19.0,0,0,7.8958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
567,morto,3,Feminino,29.0,0,4,21.075,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Não
568,morto,3,Masculino,,0,0,7.2292,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Não,Sim
569,vivo,3,Masculino,32.0,0,0,7.8542,Southampton,Terceira Classe,Homem,Sim,,Southampton,Sim,Sim
570,vivo,2,Masculino,62.0,0,0,10.5,Southampton,Segunda Classe,Homem,Sim,,Southampton,Sim,Sim
571,vivo,1,Feminino,53.0,2,0,51.4792,Southampton,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de refeição,Southampton,Sim,Não
572,vivo,1,Masculino,36.0,0,0,26.3875,Southampton,Primeira Classe,Homem,Sim,Convés Segunda Classe e áreas de serviço,Southampton,Sim,Sim
573,vivo,3,Feminino,,0,0,7.75,Queenstown,Terceira Classe,Mulher,Não,,Queenstown,Sim,Sim
574,morto,3,Masculino,16.0,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
575,morto,3,Masculino,19.0,0,0,14.5,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
576,vivo,2,Feminino,34.0,0,0,13.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Sim
577,vivo,1,Feminino,39.0,1,0,55.9,Southampton,Primeira Classe,Mulher,Não,Convés Segunda Classe e áreas de serviço,Southampton,Sim,Não
578,morto,3,Feminino,,1,0,14.4583,Cherbourg,Terceira Classe,Mulher,Não,,Cherbourg,Não,Não
579,vivo,3,Masculino,32.0,0,0,7.925,Southampton,Terceira Classe,Homem,Sim,,Southampton,Sim,Sim
580,vivo,2,Feminino,25.0,1,1,30.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Não
581,vivo,1,Feminino,39.0,1,1,110.8833,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de refeição,Cherbourg,Sim,Não
582,morto,2,Masculino,54.0,0,0,26.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
583,morto,1,Masculino,36.0,0,0,40.125,Cherbourg,Primeira Classe,Homem,Sim,Convés Primeira Classe com botes salva vidas,Cherbourg,Não,Sim
584,morto,3,Masculino,,0,0,8.7125,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Não,Sim
585,vivo,1,Feminino,18.0,0,2,79.65,Southampton,Primeira Classe,Mulher,Não,Convés Segunda Classe e áreas de serviço,Southampton,Sim,Não
586,morto,2,Masculino,47.0,0,0,15.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
587,vivo,1,Masculino,60.0,1,1,79.2,Cherbourg,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de serviço,Cherbourg,Sim,Não
588,morto,3,Masculino,22.0,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
589,morto,3,Masculino,,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
590,morto,3,Masculino,35.0,0,0,7.125,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
591,vivo,1,Feminino,52.0,1,0,78.2667,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe e Restaurante de Primeira Classe,Cherbourg,Sim,Não
592,morto,3,Masculino,47.0,0,0,7.25,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
593,morto,3,Feminino,,0,2,7.75,Queenstown,Terceira Classe,Mulher,Não,,Queenstown,Não,Não
594,morto,2,Masculino,37.0,1,0,26.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Não
595,morto,3,Masculino,36.0,1,1,24.15,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
596,vivo,2,Feminino,,0,0,33.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Sim
597,morto,3,Masculino,49.0,0,0,0.0,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
598,morto,3,Masculino,,0,0,7.225,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Não,Sim
599,vivo,1,Masculino,49.0,1,0,56.9292,Cherbourg,Primeira Classe,Homem,Sim,Convés Primeira Classe com botes salva vidas,Cherbourg,Sim,Não
600,vivo,2,Feminino,24.0,2,1,27.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Não
601,morto,3,Masculino,,0,0,7.8958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
602,morto,1,Masculino,,0,0,42.4,Southampton,Primeira Classe,Homem,Sim,,Southampton,Não,Sim
603,morto,3,Masculino,44.0,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
604,vivo,1,Masculino,35.0,0,0,26.55,Cherbourg,Primeira Classe,Homem,Sim,,Cherbourg,Sim,Sim
605,morto,3,Masculino,36.0,1,0,15.55,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
606,morto,3,Masculino,30.0,0,0,7.8958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
607,vivo,1,Masculino,27.0,0,0,30.5,Southampton,Primeira Classe,Homem,Sim,,Southampton,Sim,Sim
608,vivo,2,Feminino,22.0,1,2,41.5792,Cherbourg,Segunda Classe,Mulher,Não,,Cherbourg,Sim,Não
609,vivo,1,Feminino,40.0,0,0,153.4625,Southampton,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de refeição,Southampton,Sim,Sim
610,morto,3,Feminino,39.0,1,5,31.275,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Não
611,morto,3,Masculino,,0,0,7.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
612,vivo,3,Feminino,,1,0,15.5,Queenstown,Terceira Classe,Mulher,Não,,Queenstown,Sim,Não
613,morto,3,Masculino,,0,0,7.75,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Não,Sim
614,morto,3,Masculino,35.0,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
615,vivo,2,Feminino,24.0,1,2,65.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Não
616,morto,3,Masculino,34.0,1,1,14.4,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
617,morto,3,Feminino,26.0,1,0,16.1,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Não
618,vivo,2,Feminino,4.0,2,1,39.0,Southampton,Segunda Classe,Criança,Não,Convés Segunda Classe e parte da Terceira Classe,Southampton,Sim,Não
619,morto,2,Masculino,26.0,0,0,10.5,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
620,morto,3,Masculino,27.0,1,0,14.4542,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Não,Não
621,vivo,1,Masculino,42.0,1,0,52.5542,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e Restaurante de Primeira Classe,Southampton,Sim,Não
622,vivo,3,Masculino,20.0,1,1,15.7417,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Sim,Não
623,morto,3,Masculino,21.0,0,0,7.8542,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
624,morto,3,Masculino,21.0,0,0,16.1,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
625,morto,1,Masculino,61.0,0,0,32.3208,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e Restaurante de Primeira Classe,Southampton,Não,Sim
626,morto,2,Masculino,57.0,0,0,12.35,Queenstown,Segunda Classe,Homem,Sim,,Queenstown,Não,Sim
627,vivo,1,Feminino,21.0,0,0,77.9583,Southampton,Primeira Classe,Mulher,Não,Convés Primeira Classe e Restaurante de Primeira Classe,Southampton,Sim,Sim
628,morto,3,Masculino,26.0,0,0,7.8958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
629,morto,3,Masculino,,0,0,7.7333,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Não,Sim
630,vivo,1,Masculino,80.0,0,0,30.0,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe com botes salva vidas,Southampton,Sim,Sim
631,morto,3,Masculino,51.0,0,0,7.0542,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
632,vivo,1,Masculino,32.0,0,0,30.5,Cherbourg,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de serviço,Cherbourg,Sim,Sim
633,morto,1,Masculino,,0,0,0.0,Southampton,Primeira Classe,Homem,Sim,,Southampton,Não,Sim
634,morto,3,Feminino,9.0,3,2,27.9,Southampton,Terceira Classe,Criança,Não,,Southampton,Não,Não
635,vivo,2,Feminino,28.0,0,0,13.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Sim
636,morto,3,Masculino,32.0,0,0,7.925,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
637,morto,2,Masculino,31.0,1,1,26.25,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Não
638,morto,3,Feminino,41.0,0,5,39.6875,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Não
639,morto,3,Masculino,,1,0,16.1,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
640,morto,3,Masculino,20.0,0,0,7.8542,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
641,vivo,1,Feminino,24.0,0,0,69.3,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de serviço,Cherbourg,Sim,Sim
642,morto,3,Feminino,2.0,3,2,27.9,Southampton,Terceira Classe,Criança,Não,,Southampton,Não,Não
643,vivo,3,Masculino,,0,0,56.4958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Sim,Sim
644,vivo,3,Feminino,0.75,2,1,19.2583,Cherbourg,Terceira Classe,Criança,Não,,Cherbourg,Sim,Não
645,vivo,1,Masculino,48.0,1,0,76.7292,Cherbourg,Primeira Classe,Homem,Sim,Convés Primeira Classe e Restaurante de Primeira Classe,Cherbourg,Sim,Não
646,morto,3,Masculino,19.0,0,0,7.8958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
647,vivo,1,Masculino,56.0,0,0,35.5,Cherbourg,Primeira Classe,Homem,Sim,Convés Primeira Classe com botes salva vidas,Cherbourg,Sim,Sim
648,morto,3,Masculino,,0,0,7.55,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
649,vivo,3,Feminino,23.0,0,0,7.55,Southampton,Terceira Classe,Mulher,Não,,Southampton,Sim,Sim
650,morto,3,Masculino,,0,0,7.8958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
651,vivo,2,Feminino,18.0,0,1,23.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Não
